file,status,action,reason,duration,start,end,trimmed_duration,trim_head,trim_tail,threshold
aura.mp4,ok,trimmed,trim-detected,8.000,2.450,6.050,3.600,2.450,1.950,120.40
aura2.mp4,ok,trimmed,trim-detected,10.100,0.450,9.050,8.600,0.450,1.050,25.00
aviator.mp4,ok,trimmed,trim-detected,11.567,0.450,10.050,9.600,0.450,1.517,25.00
banshee.mp4,ok,trimmed,trim-detected,13.133,1.950,11.050,9.100,1.950,2.083,125.20
bioluminescent.mp4,ok,trimmed,trim-detected,12.083,1.450,10.550,9.100,1.450,1.533,25.20
bleeding.mp4,ok,trimmed,trim-detected,5.733,0.950,4.050,3.100,0.950,1.683,39.20
blizzard.mp4,ok,trimmed,trim-detected,8.950,0.000,8.550,8.550,0.000,0.400,25.00
bloodgarden.mp4,ok,trimmed,trim-detected,13.107,0.458,9.708,9.249,0.458,3.399,25.00
bloodlust.mp4,ok,trimmed,trim-detected,10.200,0.450,9.550,9.100,0.450,0.650,25.00
blossom.mp4,skip,skip,no-non-ui-segment,2.383,0.000,2.383,2.383,0.000,0.000,25.00
borealis.mp4,skip,skip,detected-segment-too-short,10.050,8.450,9.550,1.100,8.450,0.500,59.60
bounded.mp4,ok,trimmed,trim-detected,14.800,0.950,13.050,12.100,0.950,1.750,28.40
boundedunbound.mp4,ok,trimmed,trim-detected,11.733,0.450,10.050,9.600,0.450,1.683,25.00
BREAKTHROUGH.mp4,ok,trimmed,trim-detected,30.067,4.450,19.050,14.600,4.450,11.017,25.00
breakthroughaura.mp4,ok,trimmed,trim-detected,41.733,8.450,38.550,30.100,8.450,3.183,86.40
bubble.mp4,ok,trimmed,trim-detected,9.900,0.950,9.050,8.100,0.950,0.850,25.00
carriage.mp4,ok,trimmed,trim-detected,11.250,0.450,9.550,9.100,0.450,1.700,25.00
celestial.mp4,ok,trimmed,trim-detected,14.560,0.449,12.516,12.067,0.449,2.044,25.00
celestialdivine.mp4,ok,trimmed,trim-detected,12.000,0.450,9.550,9.100,0.450,2.450,25.00
celestialwicked.mp4,ok,trimmed,trim-detected,9.867,0.452,8.089,7.637,0.452,1.777,25.00
chillsear.mp4,ok,trimmed,trim-detected,12.767,0.950,10.550,9.600,0.950,2.217,25.00
chromatic.mp4,ok,trimmed,trim-detected,9.567,0.450,9.550,9.100,0.450,0.017,25.00
chromaticexotic.mp4,ok,trimmed,trim-detected,10.533,5.450,10.050,4.600,5.450,0.483,25.00
chromaticgenesis.mp4,ok,trimmed,trim-detected,14.000,1.950,12.050,10.100,1.950,1.950,81.20
chromatickromat1k.mp4,ok,trimmed,trim-detected,13.833,0.950,10.550,9.600,0.950,3.283,25.00
clockwork.mp4,ok,trimmed,trim-detected,14.467,2.950,12.050,9.100,2.950,2.417,66.80
cola.mp4,ok,trimmed,trim-detected,11.099,7.808,9.381,1.573,7.808,1.718,61.60
comet.mp4,ok,trimmed,trim-detected,16.023,3.424,15.435,12.011,3.424,0.588,26.80
copper.mp4,ok,trimmed,trim-detected,12.330,1.992,10.258,8.266,1.992,2.072,80.80
corrosive.mp4,ok,trimmed,trim-detected,6.833,0.450,4.550,4.100,0.450,2.283,25.00
cosmos.mp4,ok,trimmed,trim-detected,11.550,0.950,10.550,9.600,0.950,1.000,77.20
cosmosalice.mp4,ok,trimmed,trim-detected,12.217,1.450,11.050,9.600,1.450,1.167,77.20
crimson.mp4,ok,trimmed,trim-detected,13.950,2.450,13.950,11.500,2.450,0.000,73.60
cryofang.mp4,skip,skip,no-meaningful-trim,17.900,0.000,17.900,17.900,0.000,0.000,25.00
cryogenic.mp4,ok,trimmed,trim-detected,15.233,1.468,13.208,11.740,1.468,2.025,147.20
cryptfire.mp4,ok,trimmed,trim-detected,14.000,0.430,9.650,9.220,0.430,4.350,25.00
crystallizedbejeweled.mp4,ok,trimmed,trim-detected,11.478,1.452,10.561,9.109,1.452,0.918,147.60
diaboli.mp4,ok,trimmed,trim-detected,12.984,6.780,10.783,4.003,6.780,2.202,41.20
diabolivoid.mp4,ok,trimmed,trim-detected,18.800,2.450,14.050,11.600,2.450,4.750,61.60
divinusangel.mp4,ok,trimmed,trim-detected,13.700,0.450,8.050,7.600,0.450,5.650,25.00
divinusguardian.mp4,ok,trimmed,trim-detected,13.728,0.957,10.117,9.160,0.957,3.611,112.40
dominion.mp4,ok,trimmed,trim-detected,11.983,0.450,9.550,9.100,0.450,2.433,25.00
dreammetric.mp4,ok,trimmed,trim-detected,40.250,0.950,35.050,34.100,0.950,5.200,149.20
dreamscape.mp4,ok,trimmed,trim-detected,13.967,1.450,11.550,10.100,1.450,2.417,67.60
dreamtraveler.mp4,ok,trimmed,trim-detected,21.767,1.474,19.862,18.388,1.474,1.906,26.80
